country,year,sex,age,population
Albania,1987,male,15-24 years,Medium_population
Albania,1987,male,35-54 years,Medium_population
Albania,1987,female,15-24 years,Medium_population
Albania,1987,male,75+ years,Low_population
Albania,1987,male,25-34 years,Medium_population
Albania,1987,female,75+ years,Low_population
Albania,1987,female,35-54 years,Medium_population
Albania,1987,female,25-34 years,Medium_population
Albania,1987,male,55-74 years,Medium_population
Albania,1987,female,5-14 years,Medium_population
Albania,1987,female,55-74 years,Medium_population
Albania,1987,male,5-14 years,Medium_population
Albania,1988,female,75+ years,Low_population
Albania,1988,male,15-24 years,Medium_population
Albania,1988,male,75+ years,Low_population
Albania,1988,male,35-54 years,Medium_population
Albania,1988,male,55-74 years,Medium_population
Albania,1988,female,15-24 years,Medium_population
Albania,1988,female,55-74 years,Medium_population
Albania,1988,female,25-34 years,Medium_population
Albania,1988,male,25-34 years,Medium_population
Albania,1988,female,35-54 years,Medium_population
Albania,1988,female,5-14 years,Medium_population
Albania,1988,male,5-14 years,Medium_population
Albania,1989,male,75+ years,Low_population
Albania,1989,male,25-34 years,Medium_population
Albania,1989,male,35-54 years,Medium_population
Albania,1989,male,55-74 years,Medium_population
Albania,1989,male,15-24 years,Medium_population
Albania,1989,female,35-54 years,Medium_population
Albania,1989,female,15-24 years,Medium_population
Albania,1989,female,25-34 years,Medium_population
Albania,1989,female,55-74 years,Medium_population
Albania,1989,female,5-14 years,Medium_population
Albania,1989,female,75+ years,Low_population
Albania,1989,male,5-14 years,Medium_population
Albania,1992,male,35-54 years,Medium_population
Albania,1992,male,15-24 years,Medium_population
Albania,1992,male,55-74 years,Medium_population
Albania,1992,male,25-34 years,Medium_population
Albania,1992,female,15-24 years,Medium_population
Albania,1992,female,25-34 years,Medium_population
Albania,1992,female,35-54 years,Medium_population
Albania,1992,female,55-74 years,Medium_population
Albania,1992,female,5-14 years,Medium_population
Albania,1992,female,75+ years,Low_population
Albania,1992,male,5-14 years,Medium_population
Albania,1992,male,75+ years,Low_population
Albania,1993,male,15-24 years,Medium_population
Albania,1993,male,55-74 years,Medium_population
Albania,1993,male,75+ years,Low_population
Albania,1993,male,25-34 years,Medium_population
Albania,1993,female,15-24 years,Medium_population
Albania,1993,male,35-54 years,Medium_population
Albania,1993,female,25-34 years,Medium_population
Albania,1993,female,35-54 years,Medium_population
Albania,1993,female,55-74 years,Medium_population
Albania,1993,female,5-14 years,Medium_population
